query,intent
씹년,1
씹뇬,1
씹보지,1
씹새,1
씹새기,1
씹새끼,1
씹새리,1
씹세,1
씹쉐,1
씹스키,1
씹쌔,1
씹이,1
씹자지,1
씹질,1
씹창,1
씹탱,1
씹 c,1
씹팔,1
씹할,1
씹헐,1
아가리,1
아갈,1
아갈이,1
아갈통,1
아구창,1
아구통,1
아굴,1
얌마,1
양넘,1
양년,1
양놈,1
엄창,1
엠병,1
여물통,1
염병,1
엿같,1
옘병,1
옘빙,1
오입,1
왜년,1
왜놈,1
욤병,1
육갑,1
은년,1
을년,1
이년,1
이새끼,1
이새키,1
이스끼,1
이스키,1
임마,1
자슥,1
잡것,1
잡넘,1
잡년,1
잡놈,1
저년,1
저새끼,1
접년,1
젖밥,1
조까,1
조까치,1
조낸,1
조또,1
조랭,1
조빠,1
조쟁이,1
조지냐,1
조진다,1
조찐,1
조질래,1
존나,1
존나게,1
존니,1
존만,1
존만한,1
좀물,1
좁년,1
좆,1
좁밥,1
좃까,1
좃또,1
좃만,1
좃밥,1
좃이,1
좃찐,1
좆같,1
좆까,1
좆나,1
좆또,1
좆만,1
좆밥,1
좆이,1
좆찐,1
좇같,1
좇이,1
좌식,1
주글,1
주글래,1
주데이,1
주뎅,1
주뎅이,1
주둥아리,1
주둥이,1
주접,1
주접떨,1
죽고잡,1
죽을래,1
죽통,1
쥐랄,1
쥐롤,1
쥬디,1
지랄,1
지럴,1
지롤,1
지미랄,1
짜식,1
짜아식,1
쪼다,1
쫍빱,1
찌랄,1
창녀,1
캐년,1
캐놈,1
캐스끼,1
캐스키,1
캐시키,1
탱구,1
팔럼,1
퍽큐,1
호로,1
호로놈,1
호로새끼,1
호로색,1
호로쉑,1
호로스까이,1
호로스키,1
후라들,1
후래자식,1
후레,1
후뢰,1
씨ㅋ발,1
ㅆ1발,1
씌발,1
띄발,1
뛰발,1
띠ㅋ발,1
뉘뮈,1
니 얼굴 실화냐,1
개시발 좆같은 새끼야,1
관종 레알 밥도둑,1
패드립,1
지랄하네,1
지랄하지마 개새끼야,1
씹새끼 좆같네 좆같아,1
간나새끼 개간나 쌍간나 종간나 좆간나,1
갈보 걸레,1
개간년 개같,1
개나리,1
개돼지,1
개쓰레기,1
개씨발개씹할,1
개씹 개좆,1
개지랄,1
개족새 개 좆같은 새끼,1
개차반,1
거렁뱅이 거지,1
경을 칠 놈,1
고자,1
과메기,1
광녀 광년이,1
괴뢰 괴뢰군,1
그지깽깽이,1
급식충,1
김치녀,1
꺼벙이,1
꺼저 꺼져,1
꼬걸,1
꼬붕,1
꼰대,1
꼴통,1
너 같은 새끼는 뻑큐가 최고야,1
년놈 연놈,1
틀딱충,1
논다니,1
느개비,1
느금마 니기미,1
니기미 네미,1
니상년,1
노답,1
나가뒤져.,1
니미뽕,1
닥쳐,1
닭대가리,1
돼지 돼지새끼,1
되놈,1
뒈지다,1
따까리,1
딸딸이,1
땡중 땡추,1
떨거지,1
또라이(돌아이),1
똘마니,1
똘추 또라이,1
똥,1
똥개,1
띨빵,1
루저,1
렉카충,1
ㅁㅈㅎ 일베,1
망나니,1
맘충,1
매국노,1
머저리,1
먹사,1
멍청도,1
멍청이,1
메갈 메갈리아,1
모자라다,1
무뇌무뇌충 무뇌아 무뇌봉,1
미치광이,1
미친개,1
바보,1
바보멍청이해삼멍게말미잘,1
버러지 곤충을 비롯하여 기생충과 같은 하등 동물을 통틀어 이르는 말이나 어감상 욕으로 쓰인다.,1
변태 변태새끼,1
병신 (病身),1
병신따까리(새끼),1
벌레 벌레새끼,1
보슬(아치),1
보전깨,1
보지,1
보지년,1
보추 보지,1
불알 부랄,1
불한당,1
븅딱 병신 딱지,1
비듬,1
빌어먹을,1
빠돼쌍,1
빨갱이,1
빨통,1
뻐큐 Fuck You,1
삐꾸,1
빡대가리,1
상폐녀,1
십장생,1
싸가지 없다,1
싸이코,1
쌍욕,1
쌍놈상놈 썅놈쌍년상년 썅년,1
씹지랄,1
썩을놈년,1
쓰레기,1
씨발씨팔 시발,1
씨방새 씨방놈 씨방년 씨방짭새,1
씨부랄시부랄 시브랄 씨브랄,1
씹,1
씹새끼 씹새,1
씹치남 씹치녀,1
쑤비,1
아다,1
애자,1
애비충,1
애미/애비 뒤진 년,1
양아치,1
언년이,1
얼간이,1
에라이 씨발,1
엠창(니미씨발) 엄창,1
엠창인생,1
옌장,1
열폭 열등감 폭발,1
염병 옘병,1
엿먹다,1
오랑캐,1
오유충,1
우라질,1
욱일기,1
운지,1
워마드,1
육갑떨다 육갑하다,1
육변기,1
육시럴,1
응 니애미(애비/애벌레),1
이런 시베리아벌판에서수박씨발라먹은시베리안허스키가먹다뱉은조카18색크레파스같으니라고.,1
이완용,1
인간쓰레기,1
인조새,1
일베충,1
자지,1
잡종,1
재수없다,1
저능아,1
정박아,1
정신병자,1
젖,1
제기랄,1
젠장,1
졸라,1
종간나새끼,1
좆간나새끼,1
좆같다,1
좆도 아닌 (새끼),1
좆망,1
좆물 ,1
좆만이,1
좆대가리 = 귀두,1
좆심,1
좆집,1
좆병신,1
쥐새끼,1
즐,1
지기미,1
짭새,1
짱깨 장궤,1
쩌리,1
쪽발이 쪽바리,1
쫄보,1
찌랭이,1
찐,1
찐따,1
찐찌버거 찐따 찌질이 버러지,1
창녀 창놈,1
천치,1
촛불좀비,1
최순실,1
추남 추녀,1
친일파,1
코흘리개,1
통구이,1
트롤,1
튀기,1
파쇼,1
폐인,1
폐녀자,1
피싸개,1
한남 한남충 한녀 한녀충,1
허접,1
허접쓰레기 허섭스레기,1
호구,1
호로 후레자식 호쌍새,1
호모,1
화냥년 환향년,1
후장,1
후빨,1
10새끼,1
10쎄끼,1
10알,1
10창,1
10탱,1
10탱아,1
10팔,1
10팔년,1
10팔놈,1
10팔연,1
10할년,1
10할연,1
18넘,1
18년,1
18놈,1
18눔,1
18늠,1
18세끼,1
18쉑끼,1
18쎄리,1
18쒜리,1
18쒝끼,1
18씨끼,1
2c8,1
2c팔,1
강간,1
개넘,1
개눔,1
개늠,1
개때꺄,1
개때끼,1
개또라이,1
개똥,1
개부랄,1
개부럴,1
개불알,1
개새꺄,1
개새리,1
개새야,1
개색,1
개색꺄,1
개샥,1
개섹,1
개섺,1
개셃,1
개셋키,1
개셐,1
개쇄끼,1
개쇅,1
개쇅갸,1
개쇅기,1
개쇅꺄,1
개쇅끼,1
개쇅캬,1
개쇅키,1
개쇗,1
개쇗기,1
개쇠리,1
개쉐끼,1
개쉑갸,1
개쉑기,1
개쉑꺄,1
개쉑끼,1
개쉑이,1
개쉑캬,1
개쉑키,1
개쉑히,1
개쉢,1
개쉨,1
개쉬끼,1
개싀끼,1
개싘,1
개시퀴,1
개십팔,1
개싯끼,1
개싯키,1
개싴,1
개쌍넘,1
개쌍년,1
개쌍놈,1
개쌔,1
개쌔꺄,1
개쌔끼,1
개쌕,1
개쌕끼,1
개썅넘,1
개썅년,1
개썅놈,1
개썅늠,1
개썅연,1
개쎅,1
개쐐리,1
개쒜,1
개쒜끼,1
개쒜리,1
개쒝,1
개쒝갸,1
개쒝기,1
개쒝꺄,1
개쒝끼,1
개쒝키,1
개쒯,1
개쒸,1
개쒹기,1
개씌끼,1
개씨끼,1
개씨발,1
개씨팕,1
개씹창,1
개씹팔,1
개자싁,1
개자식,1
개젓,1
개젖,1
개졋,1
개졎,1
개조또,1
개조옷,1
개족,1
개후레,1
개후장,1
거시기,1
겁탈,1
게넘,1
게년,1
게놈,1
게뇬,1
게뇽,1
게눔,1
게새끼,1
게새리,1
게색,1
게세,1
게세꺄,1
게세끼,1
게섹,1
게쉐,1
게쉐이,1
게시끼,1
게시퀴,1
고환,1
공짜버그,1
공짜캐쉬,1
그룹섹스,1
그지새끼,1
그지좃밥,1
그지좃빱,1
그지좆밥,1
근친,1
근친상간,1
기엉아,1
기형아,1
꼴려,1
꼴리는,1
꼴리다,1
난교,1
넣게벌려,1
넣고싸고,1
네에미,1
년놈,1
니미롤,1
니미를,1
니보지,1
니애미,1
니애비,1
니에미,1
니에비,1
니좆,1
대딸,1
떡치기,1
떡칠녀,1
룸섹스,1
마스터베이션,1
매춘,1
매춘부,1
몸안에사정,1
몸캠,1
몸켐,1
몸파는,1
뮈칀세끼,1
뮈칀세리,1
뮈칀섹끼,1
뮈친,1
뮈친세리,1
뮈친섹끼,1
뮈친섹이,1
미췬년,1
미췬세끼,1
미췬쉐리,1
미친뇬,1
미친세리,1
미친섹이,1
미친자식,1
미튄,1
미틘,1
미틩,1
미틴뇬,1
밑구녕,1
밑구녕빨기,1
박고싶다,1
박고싶퍼,1
박아줄게,1
박아줄께,1
박을께,1
박을년,1
뱅쉰,1
뱅싄,1
뱡신,1
버즤,1
버지,1
버지물,1
버짓물,1
번섹,1
번쌕,1
번쎅,1
벙어리,1
변섹,1
변태,1
변퇴,1
병싀,1
병싄,1
병씬,1
보오지,1
보쥐,1
보즤,1
보지걸,1
보지구녕,1
보지구멍,1
보지나라,1
보지당,1
보지물,1
보지보지,1
보지털,1
보짓년,1
보짓물,1
보짖물,1
보G,1
봉알,1
뵤즤,1
뵤지,1
뵨태,1
뵹딱,1
뵹싄,1
뵹신,1
부부섹스,1
부카케,1
불륜,1
붕딱,1
붕딲,1
붕뛴,1
붕싄,1
붕시나,1
붕신,1
붕알,1
붜지,1
붱신,1
뷍슨,1
뷍싄,1
뷍신,1
뷩쉬,1
뷩쉰,1
뷩싄,1
뷩신,1
뷰웅신,1
븅딱,1
븅쉰,1
븅싄,1
븅시,1
븅아,1
브랄,1
블알,1
븡딱,1
븡쉰,1
븡신,1
븽딱,1
븽쉬,1
븽슨,1
븽싄,1
븽시,1
븽신,1
비잉신,1
빙딱,1
빙쉬,1
빙쉰,1
빙싀,1
빙싄,1
빠걸,1
빠굴이,1
빠꾸리,1
빠도리,1
빠돌이,1
빠라,1
빠라조,1
빠라줘,1
빠러,1
빠수니,1
빠순이,1
빡돌,1
빡촌,1
빡큐,1
빨어핥어박어,1
빨자좃,1
빨자좆,1
빽보지,1
빽자지,1
뺑신,1
뺑쒼,1
뺑씬,1
뺘큐,1
뻐어큐,1
뻐킹,1
뼝신,1
뽀개,1
뽀로노,1
뽀르나,1
뽀르너,1
뽀르노,1
뽀쥐,1
뽀지,1
뽀쮜,1
뽕알,1
뿅신,1
뿅씬,1
뿡알,1
쁑신,1
삥쉰,1
삥쒼,1
삥씬,1
사까시,1
사까치,1
사이버섹스,1
사창가,1
사카시,1
사카치,1
삽쥘,1
삿가시,1
삿까시,1
삿깟시,1
상년,1
상노무,1
상놈,1
새뀌,1
새끠,1
새뤼,1
새에끼,1
새X,1
색갸,1
색걸,1
색골,1
색광,1
색기,1
색꺄,1
색남,1
색녀,1
색마,1
색쑤,1
색쓰,1
색캬,1
색키,1
색할,1
색햐,1
색히,1
샊꺄,1
샤불년,1
샤앙년,1
샵년,1
샹넘,1
샹년,1
샹놈,1
샹늠,1
성관계,1
성교,1
성매매,1
성섹스,1
성욕구,1
성인용품,1
성체위,1
성체험,1
성추행,1
성충동,1
성폭력,1
성폭행,1
성행위,1
세게빨아,1
세뀌,1
세끠,1
세액스,1
세에끼,1
세에쓰,1
세엑,1
세퀴,1
세키,1
섹남,1
섹녀,1
섹마,1
섹보지,1
섹수,1
섹쉬,1
섹슈,1
섹시,1
섹파트너,1
섹하자,1
섹하장,1
섹할,1
섹해,1
섹히,1
섹s,1
수간,1
수음,1
쉑수,1
쉑스,1
쉑쑤,1
쉑쓰,1
쉑캬,1
스와핑,1
스트립쇼,1
스트립쑈,1
스펄,1
십넘,1
십녀,1
십놈,1
십때꺄,1
십때끼,1
십떼끼,1
십밸,1
십새꺄,1
십새캬,1
십새키,1
십색,1
십색꺄,1
십색끼,1
십색히,1
십세끼,1
십쇄리,1
십쉐리,1
십쉑,1
십쉑히,1
십시끼,1
십쌔꺄,1
십쎄끼,1
십씨키,1
십알,1
십질,1
십탱구리,1
십팔,1
십팔년,1
십팔련,1
십팔연,1
십할,1
십할련,1
싯끼,1
싯빨,1
싯팔,1
싲팔,1
싴팔,1
싵팔,1
싶팔,1
싸발년,1
싸앙넘,1
싸앙녀,1
싸앙년,1
싸줄께,1
싹년,1
쌍넌,1
쌍념,1
쌍노무,1
쌍놈아,1
쌍뇨나,1
쌍뇸,1
쌍뇽,1
쌍뉸,1
쌍연,1
쌔꺄,1
쌔리,1
쌔캬,1
쌔키,1
쌕갸,1
쌕걸,1
쌕꺄,1
쌕수,1
쌕스,1
쌕쑤,1
쌕쓰,1
쌩보지,1
쌩포르노,1
쌰앙넘,1
쌰앙녀,1
쌰앙년,1
쌰앙눔,1
쌰앙뉸,1
썁색,1
썅넌,1
썅넘,1
썅녀,1
썅뇬,1
썅연,1
쎅스,1
쓰글넘,1
쓰글년,1
쓰글놈,1
쓰글늠,1
쓰발넘,1
쓰불,1
쓰뷀,1
쓰블,1
씨댕년,1
씨바라,1
씨발넘,1
씨발년,1
씨발놈,1
씨발놈아,1
씨뱔,1
씨벌년,1
씨벧,1
씨벨년,1
씨벵,1
씨불년,1
씨불얼,1
씨뷀,1
씨브,1
씨브럴,1
씨블,1
씨블년,1
씨앙년,1
씨양년,1
씨이바,1
씨이발,1
씨이방,1
씨이밸,1
씨이벌,1
씨이빨,1
씨이팔,1
씨입년,1
씨입뇬,1
씨팏,1
씨팔년,1
씹8,1
씹넘,1
씹놈,1
