의도(Intent),개체명(NER),질문(Query),답변(Answer),답변 이미지
소개,B_OG,CCC에 대해 알려줘,"""CCC는 기독교 동아리입니다. Campus Crusade for Christ 라는 뜻을 가지고 있으며 한국대학생 선교회라고도 합니다. Movements everywhere, 모든 곳에 영적 운동을 일으켜서 주님의 지상명령성취에 동참하는 것을 가장 큰 비전으로 삼고 있습니다. CCC는 캠퍼스에서 하나님을 인격적으로 만나고, 주님의 평생 제자로 살아갈 수 있도록 훈련하여 민족과 세계 복음화를 비전으로 하는 기독교 동아리이며, 학교에서 정식으로 인정받은 건강한 공식 기독교 선교단체 입니다.""",
소개,B_OG,ccc에 대해 알려줘,"""CCC는 기독교 동아리입니다. Campus Crusade for Christ 라는 뜻을 가지고 있으며 한국대학생 선교회라고도 합니다. Movements everywhere, 모든 곳에 영적 운동을 일으켜서 주님의 지상명령성취에 동참하는 것을 가장 큰 비전으로 삼고 있습니다. CCC는 캠퍼스에서 하나님을 인격적으로 만나고, 주님의 평생 제자로 살아갈 수 있도록 훈련하여 민족과 세계 복음화를 비전으로 하는 기독교 동아리이며, 학교에서 정식으로 인정받은 건강한 공식 기독교 선교단체 입니다.""",
소개,B_OG,jdm에 대해 알려줘,"""기독교 동아리 JDM은 예수 제자 운동(Jesus Disciple Movement)의 줄임말로, 마태복음 28장 19-20절에 예수님께서 제자들에게 남기신 만인을 그리스도의 제자로 삼으라는 명령을 비전으로 삼아 만들어졌습니다. 전국 16개 지구, 해외 32개국, 총 300 여개의 캠퍼스에서 운동을 진행하고 있으며 복음전파, 제자훈련, 세계선교를 중심으로 사역하는 학원복음화 협의회에 가입된 건전한 선교 단체입니다.""",
소개,B_OG,JDM에 대해 알려줘,"""기독교 동아리 JDM은 예수 제자 운동(Jesus Disciple Movement)의 줄임말로, 마태복음 28장 19-20절에 예수님께서 제자들에게 남기신 만인을 그리스도의 제자로 삼으라는 명령을 비전으로 삼아 만들어졌습니다. 전국 16개 지구, 해외 32개국, 총 300 여개의 캠퍼스에서 운동을 진행하고 있으며 복음전파, 제자훈련, 세계선교를 중심으로 사역하는 학원복음화 협의회에 가입된 건전한 선교 단체입니다.""",
소개,B_OG,E.G.O에 대해 알려줘,E.G.O는 힙합동아리입니다.,
소개,B_OG,EGO에 대해 알려줘,E.G.O는 힙합동아리입니다.,
소개,B_OG,에고에 대해 알려줘,E.G.O는 힙합동아리입니다.,
소개,B_OG,ego에 대해 알려줘,E.G.O는 힙합동아리입니다.,
소개,B_OG,OST에 대해 알려줘,OST는 공연동아리입니다.,
소개,B_OG,ost에 대해 알려줘,OST는 공연동아리입니다.,
소개,B_OG,페르마타에 대해 알려줘,페르마타는 어쿠스틱 특유의 따듯함과 잔잔한 분위기의 음악을 좋아하는 사람들이 함께 즐기는 어쿠스틱 밴드 동아리입니다.,
소개,B_OG,뉴를리에 대해 알려줘,"뉴를리는 여자 댄스 동아리로, 정해진 기간 상관없이 항시 오디션을 열어놓고 있습니다. 시간에 제한 없이 자유롭게 지원해주세요.",
소개,B_OG,프레이즈에 대해 알려줘,프레이즈는 밴드동아리입니다.,
소개,B_OG,루시우스에 대해 알려줘,루시우스는 치어리딩동아리입니다.,
소개,B_OG,Tag the bills에 대해 알려줘,Tag the bills는 패션동아리입니다.,
소개,B_OG,Tagthebills에 대해 알려줘,Tag the bills는 패션동아리입니다.,
소개,B_OG,tagthebills에 대해 알려줘,Tag the bills는 패션동아리입니다.,
소개,B_OG,해시태그에 대해 알려줘,사진 동아리 해시태그의 소개글은 <오늘의 기억이 영원한 이야기가 되도록> 입니다.,
소개,B_OG,보드홀릭에 대해 알려줘,"""보드게임 동아리 보드홀릭은 정기적으로 동아리방을 대여하여 부원들이 보드게임을 하고 있고, 다빈치코드, 할리갈리, 루미큐브를 비롯해 20종의 보드게임을 소유하고 있습니다. 부원들의 의견을 받아 보드게임을 구매하고 있습니다.""",
소개,B_OG,팔레트에 대해 알려줘,팔레트는 그림동아리입니다.,
소개,B_OG,핀액션에 대해 알려줘,핀액션은 볼링동아리입니다.,
소개,B_OG,에이스에 대해 알려줘,에이스는 테니스동아리입니다.,
소개,B_OG,스핀 SPIN에 대해 알려줘,스핀 SPIN은 농구동아리입니다.,
소개,B_OG,SPIN에 대해 알려줘,스핀 SPIN은 농구동아리입니다.,
소개,B_OG,스핀에 대해 알려줘,스핀 SPIN은 농구동아리입니다.,
소개,B_OG,spin에 대해 알려줘,스핀 SPIN은 농구동아리입니다.,
소개,B_OG,RCY에 대해 알려줘,"""봉사동아리 RCY는 Red Cross Youth의 줄임말로, 청소년 적십자라고도 불립니다. 대한적십자사에서 운영하는 범세계적 청소년 단체로, 초등/ 중고등/ 대학 RCY로 나뉩니다. 본 동아리에 들어오면 동아리 활동 외에도, 강원도 내 진행되는 봉사활동을 공지받을 수 있습니다.""",
소개,B_OG,rcy에 대해 알려줘,"""봉사동아리 RCY는 Red Cross Youth의 줄임말로, 청소년 적십자라고도 불립니다. 대한적십자사에서 운영하는 범세계적 청소년 단체로, 초등/ 중고등/ 대학 RCY로 나뉩니다. 본 동아리에 들어오면 동아리 활동 외에도, 강원도 내 진행되는 봉사활동을 공지받을 수 있습니다.""",
소개,B_OG,게임 개발 동아리에 대해 알려줘,게임동아리의 소개글은 <게임을 출시해보고 싶다면? 게임 업계로 취업을 생각하고 있다면? 같이 게임개발하자!> 입니다.,
소개,B_OG,게임개발동아리에 대해 알려줘,게임동아리의 소개글은 <게임을 출시해보고 싶다면? 게임 업계로 취업을 생각하고 있다면? 같이 게임개발하자!> 입니다.,
소개,B_OG,깜냥깜냥에 대해 알려줘,깜냥깜냥은 취업동아리입니다.,
소개,B_OG,업텐션에 대해 알려줘,업텐션은 취업동아리입니다.,
소개,B_OG,GW게이밍에 대해 알려줘,GW게이밍은 취업동아리입니다.,
소개,B_OG,암행어사 마패에 대해 알려줘,암행어사 마패는 취업동아리입니다.,
소개,B_OG,2025년 취업새내기들에 대해 알려줘,2025년 취업새내기들은 취업동아리입니다.,
소개,B_OG,취뽀가보자에 대해 알려줘,취뽀가보자는 취업동아리입니다.,
소개,B_OG,whatever에 대해 알려줘,whatever은 취업동아리입니다.,
소개,B_OG,굿아이티어에 대해 알려줘,굿아이티어는 취업동아리입니다.,
소개,B_OG,신재생에너지 및 전력 ICT분야 취업하자!에 대해 알려줘,신재생에너지 및 전력 ICT분야 취업하자!는 취업동아리입니다.,
소개,B_OG,간바레에 대해 알려줘,간바레는 취업동아리입니다.,
소개,B_OG,취업동아리에 대해 알려줘,취업동아리 관련 안내 링크입니다. :) https://www.gwnu.ac.kr/kr/7897/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa3IlMkYxNjEzJTJGMjU4MjEzJTJGYXJ0Y2xWaWV3LmRvJTNG,
소개,B_OG,CCC 소개,"""CCC는 기독교 동아리입니다. Campus Crusade for Christ 라는 뜻을 가지고 있으며 한국대학생 선교회라고도 합니다. Movements everywhere, 모든 곳에 영적 운동을 일으켜서 주님의 지상명령성취에 동참하는 것을 가장 큰 비전으로 삼고 있습니다. CCC는 캠퍼스에서 하나님을 인격적으로 만나고, 주님의 평생 제자로 살아갈 수 있도록 훈련하여 민족과 세계 복음화를 비전으로 하는 기독교 동아리이며, 학교에서 정식으로 인정받은 건강한 공식 기독교 선교단체입니다.""",
기타,,3박4일 놀러가고 싶,답변할 수 없는 질문입니다. 수일 내로 답변을 업데이트 하겠습니다. 죄송합니다 :(,
기타,,3박4일 정도 놀러가고 싶,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요.,
기타,,SD카드 망가졌어,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),
기타,,SD카드 안돼,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주시면 궁금하신 부분에 대해서 알려드릴게요. :),
기타,,SNS 맞팔 왜 안하지ㅠㅠ,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
가입방법,B_OG,CCC 가입방법 알려줘,CCC는 동아리방 방문 및 회장 번호로 가입신청 할 수 있습니다.,
가입방법,B_OG,JDM 가입방법 알려줘,JDM은 네이버폼을 통해 동아리에 가입신청 할 수 있습니다. JDM 가입신청 네이버폼 링크 https://naver.me/55yot5ko,
가입방법,B_OG,E.G.O 가입방법 알려줘,E.G.O 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,OST 가입방법 알려줘,OST 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,ccc 가입방법 알려줘,CCC는 동아리방 방문 및 회장 번호로 가입신청 할 수 있습니다.,
가입방법,B_OG,jdm 가입방법 알려줘,JDM은 네이버폼을 통해 동아리에 가입신청 할 수 있습니다. JDM 가입신청 네이버폼 링크 https://naver.me/55yot5ko,
가입방법,B_OG,EGO 가입방법 알려줘,E.G.O 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,ost 가입방법 알려줘,OST 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,ego 가입방법 알려줘,E.G.O 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,에고 가입방법 알려줘,E.G.O 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,페르마타 가입방법 알려줘,페르마타는 동아리회장 번호로 신청양식을 보내 가입신청 할 수 있습니다.,
가입방법,B_OG,뉴를리 가입방법 알려줘,뉴를리는 안무영상 1~3분 이내 카카오톡 오픈채팅 링크로 제출(이름/학번/학과 + 지원영상)하여 가입신청 할 수 있습니다. 오픈채팅 링크 : https://open.kakao.com/o/stCIT76f,
가입방법,B_OG,프레이즈 가입방법 알려줘,프레이즈는 학과/학번/이름/전화번호/지원분야 양식 맞춰 회장 번호로 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,루시우스 가입방법 알려줘,루시우스는 오픈채팅으로 학과/학번/이름을 보내 가입신청 할 수 있습니다.,
가입방법,B_OG,Tag the bills 가입방법 알려줘,Tag the bills 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,Tagthebills 가입방법 알려줘,Tag the bills 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,tagthebills 가입방법 알려줘,Tag the bills 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,해시태그 가입방법 알려줘,해시태그는 구글 폼 지원서 작성(큐알코드)을 통해 가입신청 할 수 있습니다.,
가입방법,B_OG,보드홀릭 가입방법 알려줘,보드홀릭은 모집글을 통해 가입신청 할 수 있습니다. 모집글 링크 : https://naver.me/x3q1kVZp,
가입방법,B_OG,팔레트 가입방법 알려줘,팔레트 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,핀액션 가입방법 알려줘,핀액션은 카카오톡으로 연락하여 가입신청 할 수 있습니다. 카카오톡 아이디 : awh9974,
가입방법,B_OG,에이스 가입방법 알려줘,에이스 가입방법은 매년 초 에브리타임에 공고되고 있습니다.,
가입방법,B_OG,스핀 SPIN 가입방법 알려줘,스핀 SPIN은 학과 학번 이름 작성해 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,스핀 가입방법 알려줘,스핀 SPIN은 학과 학번 이름 작성해 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,SPIN 가입방법 알려줘,스핀 SPIN은 학과 학번 이름 작성해 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,spin 가입방법 알려줘,스핀 SPIN은 학과 학번 이름 작성해 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,Spin 가입방법 알려줘,스핀 SPIN은 학과 학번 이름 작성해 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,RCY 가입방법 알려줘,RCY 가입방법은 매년 강릉원주대학교 에브리타임에서 공지되고 있습니다.,
가입방법,B_OG,rcy 가입방법 알려줘,RCY 가입방법은 매년 강릉원주대학교 에브리타임에서 공지되고 있습니다.,
가입방법,B_OG,게임 개발 동아리 가입방법 알려줘,게임 개발 동아리는 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,게임개발동아리 가입방법 알려줘,게임 개발 동아리는 문자지원하여 가입신청 할 수 있습니다.,
가입방법,B_OG,취업동아리 가입방법 알려줘,취업동아리는 참가신청서를 작성해 학생성공지원과에 제출하여 신청할 수 있습니다. 관련 링크 : https://www.gwnu.ac.kr/kr/7897/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa3IlMkYxNjEzJTJGMjU4MjEzJTJGYXJ0Y2xWaWV3LmRvJTNG,
가입방법,B_OG,CCC 모집기간 알려줘,CCC 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,JDM 모집기간 알려줘,JDM 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,E.G.O 모집기간 알려줘,E.G.O 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,OST 모집기간 알려줘,OST 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,ccc 모집기간 알려줘,CCC 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,jdm 모집기간 알려줘,JDM 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,EGO 모집기간 알려줘,E.G.O 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,ost 모집기간 알려줘,OST 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,ego 모집기간 알려줘,E.G.O 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,에고 모집기간 알려줘,E.G.O 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,Tag the bills 모집기간 알려줘,Tag the bills 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,페르마타 모집기간 알려줘,페르마타 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,뉴를리 모집기간 알려줘,뉴를리는 항시모집하고 있습니다.,
가입방법,B_OG,프레이즈 모집기간 알려줘,프레이즈 모집기간은 2024년 03월 07일 18:00까지입니다.,
가입방법,B_OG,루시우스 모집기간 알려줘,루시우스 모집기간은 2024년 03월 15일 18시까지입니다.,
가입방법,B_OG,Tagthebills 모집기간 알려줘,Tag the bills 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,tagthebills 모집기간 알려줘,Tag the bills 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,해시태그 모집기간 알려줘,해시태그 모집기간은 2월 9일 ~ 3월 8일입니다.,
가입방법,B_OG,보드홀릭 모집기간 알려줘,보드홀릭은 상시모집하고 있습니다.,
가입방법,B_OG,팔레트 모집기간 알려줘,팔레트 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,핀액션 모집기간 알려줘,핀액션 모집기간은 4월 12일 19시까지입니다.,
가입방법,B_OG,에이스 모집기간 알려줘,에이스 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,스핀 SPIN 모집기간 알려줘,스핀 SPIN 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,스핀 모집기간 알려줘,스핀 SPIN 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,SPIN 모집기간 알려줘,스핀 SPIN 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,spin 모집기간 알려줘,스핀 SPIN 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,Spin 모집기간 알려줘,스핀 SPIN 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,rcy 모집기간 알려줘,RCY 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,RCY 모집기간 알려줘,RCY 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,게임 개발 동아리 모집기간 알려줘,게임 개발 동아리 모집기간은 매년 에브리타임에서 공고되고 있습니다.,
가입방법,B_OG,취업동아리 모집기간 알려줘,취업동아리 신청 관련 안내 링크는 다음과 같습니다. :) https://www.gwnu.ac.kr/kr/7897/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa3IlMkYxNjEzJTJGMjU4MjEzJTJGYXJ0Y2xWaWV3LmRvJTNG,
가입방법,B_OG,CCC 모집대상 알려줘,CCC 모집대상은 전학우입니다.,
가입방법,B_OG,JDM 모집대상 알려줘,JDM 모집대상은 전학우입니다.,
가입방법,B_OG,E.G.O 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,OST 모집기간 알려줘,OST 모집대상은 전학우입니다.,
가입방법,B_OG,ccc 모집대상 알려줘,CCC 모집대상은 전학우입니다.,
가입방법,B_OG,jdm 모집대상 알려줘,JDM 모집대상은 전학우입니다.,
가입방법,B_OG,EGO 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,ost 모집대상 알려줘,OST 모집대상은 전학우입니다.,
가입방법,B_OG,ego 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,에고 모집대상 알려줘,E.G.O 모집대상은 전학우입니다.,
가입방법,B_OG,Tagthebills 모집대상 알려줘,Tag the bills 모집대상은 전학우입니다.,
가입방법,B_OG,tagthebills 모집대상 알려줘,Tag the bills 모집대상은 전학우입니다.,
가입방법,B_OG,스핀 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,SPIN 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,spin 모집대상 알려줘,스핀 SPIN 모집대상은 1주 1회이상 꾸준히 활동 가능한 분입니다.,
가입방법,B_OG,페르마타 모집대상 알려줘,"페르마타 모집대상은 강릉원주대학교 원주캠퍼스 신입생 및 재학생입니다. 모집분야는 <보컬, 기타(어쿠스틱/클래식/일렉/베이스), 건반, 카혼, 젬베 + 기타 입문자>입니다.",
가입방법,B_OG,뉴를리 모집대상 알려줘,뉴를리 모집대상은 강릉원주대학교 원주캠퍼스 전학년 여학우입니다.,
