의도(Intent),개체명(NER),질문(Query),답변(Answer),답변 이미지
욕설,,구녕,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,구라,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,구멍,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,그년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,그새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,냄비,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,놈현,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,눈깔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뉘미럴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니귀미,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니기미,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니미,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니미랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니미럴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니미씹,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니아배,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니아베,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니아비,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니어매,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니어메,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,니어미,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,닝기리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,닝기미,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,대가리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뎡신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,도라이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,돈놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,돌아이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,돌은놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,되질래,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒈져,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒈져라,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒈진,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒈진다,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒈질,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뒤질래,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,등신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,디져라,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,디진다,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,디질래,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,딩시,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,따식,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,때놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,또라이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,똘아이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,똘아이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뙈놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뙤놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뙨넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뙨놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뚜쟁,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,띠바,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,띠발,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,띠불,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,띠팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,메친넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,메친놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미췬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미췬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미친스까이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미틴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미틴넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미틴년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,미틴놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,바랄년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,병자,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뱅마,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뱅신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,벼엉신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,병쉰,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,병신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,부랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,부럴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,불알,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,불할,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,붕가,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,붙어먹,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뷰웅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,븅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,븅신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빌어먹,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빙시,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빙신,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빠가,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빠구리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빠굴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,빠큐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뻐큐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뻑큐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,뽁큐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,상넘이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,상놈을,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,상놈의,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,상놈이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,새갸,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,새꺄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,새새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,새키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,색끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,생쑈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,세갸,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,세꺄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,세끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,섹스,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쇼하네,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐에기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉐키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉑,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉬발,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉬밸,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉬벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉬뻘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉬펄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쉽알,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,스패킹,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,스팽,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시궁창,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시댕,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시뎅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시발,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시부랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시부럴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시부리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시불,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시브랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시팍,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,시펄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,신발끈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,심발끈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,심탱,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십8,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십라,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십세,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십쉐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십쉐이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십스키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십쌔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십창,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,십탱,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,싶알,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,싸가지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,싹아지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌉년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌍넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌍년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌍놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌍뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌔끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌕,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쌩쑈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,썅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,썅년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,썅놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,써벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,썩을년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,썩을놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쎄꺄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쎄엑,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쒸벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쒸뻘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쒸팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쒸펄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쓰바,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쓰박,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쓰발,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쓰벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,쓰팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씁새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씁얼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씌파,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨8,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨댕,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨뎅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨바,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨바랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨박,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨발,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨방,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨방새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨방세,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨밸,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨뱅,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨벌,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨벨,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨봉,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨봉알,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨부랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨부럴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨부렁,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨부리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨불,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨붕,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨브랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨빠,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨빨,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨뽀랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨앙,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨파,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨팍,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씨펄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씸년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씸뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씸새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹같,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹보지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹새기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹새리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹세,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹쉐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹스키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹쌔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹자지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹질,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹창,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹탱,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹 c,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹팔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹할,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,씹헐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아가리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아갈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아갈이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아갈통,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아구창,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아구통,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,아굴,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,얌마,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,양넘,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,양년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,양놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,엄창,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,엠병,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,여물통,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,염병,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,엿같,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,옘병,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,옘빙,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,오입,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,왜년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,왜놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,욤병,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,육갑,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,은년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,을년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,이년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,이새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,이새키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,이스끼,부적절한 질문이거나 답변할 수 없습니다.,
